fanta_role,name,team_code,team_name,value,elo,starter_prob,exp_matches,exp_weighted_matches,base_voto,per_match_pts,etp,mod_proxy,etp_obj,etp_per_credit
st,Isidor,HAI,Haiti,3,1532,0.88,3.03,3.03,6.088,6.854,18.25,0.0,18.25,6.083
st,Cordoba J.,COL,Colombia,11,1977,0.5,5.3,4.75,6.448,7.678,18.22,0.0,18.22,1.656
cb,Ali Abdi,TUN,Tunisia,1,1633,0.86,3.18,3.16,6.17,6.369,17.29,0.92,18.21,18.209
st,Gordon A.,ING,England,15,2020,0.5,5.84,5.03,6.483,7.234,18.18,0.0,18.18,1.212
cb,Cabral S.,CPV,Cape Verde,1,1576,0.86,3.2,3.18,6.124,6.394,17.48,0.68,18.16,18.161
m,Adams T.,USA,United States,7,1733,0.84,3.55,3.47,6.251,6.22,18.14,0.0,18.14,2.591
st,Yeboah,ECU,Ecuador,1,1935,0.565,5.12,4.65,6.414,6.911,18.14,0.0,18.14,18.142
cb,Bindon,NZL,New Zealand,1,1585,0.905,3.2,3.18,6.131,6.009,17.29,0.75,18.04,18.043
cb,Khalilzadeh,IRN,Iran,1,1764,0.659,4.29,4.09,6.276,6.154,16.56,1.48,18.04,18.042
st,Quinones,MEX,Mexico,2,1868,0.538,4.99,4.58,6.36,7.309,18.0,0.0,18.0,9.001
st,Undav,GER,Germany,8,1925,0.5,5.05,4.6,6.406,7.794,17.93,0.0,17.93,2.242
gk,Ergashev,UZB,Uzbekistan,1,1718,0.92,3.44,3.39,6.159,5.265,16.42,1.49,17.91,17.907
m,Schjelderup,NOR,Norway,5,1917,0.6,4.8,4.42,6.399,6.741,17.86,0.0,17.86,3.573
st,Banza,COD,DR Congo,3,1655,0.84,3.18,3.16,6.188,6.736,17.86,0.0,17.86,5.955
st,Wissa,COD,DR Congo,8,1655,0.88,3.18,3.16,6.188,6.421,17.84,0.0,17.84,2.23
cb,Kalulu,COD,DR Congo,7,1655,0.88,3.18,3.16,6.188,6.042,16.79,1.04,17.83,2.547
m,Afif,QAT,Qatar,2,1423,0.88,3.06,3.06,6.0,6.621,17.81,0.0,17.81,8.903
m,Zaire Emery,FRA,France,24,2081,0.5,6.51,5.38,6.532,6.612,17.8,0.0,17.8,0.742
cb,Bremer,BRA,Brazil,18,1988,0.5,5.35,4.76,6.457,6.521,15.5,2.17,17.68,0.982
m,Just,NZL,New Zealand,1,1585,0.875,3.2,3.18,6.131,6.356,17.68,0.0,17.68,17.682
cb,Cacace,NZL,New Zealand,2,1585,0.88,3.2,3.18,6.131,6.038,16.89,0.73,17.63,8.813
m,Kante,FRA,France,15,2081,0.5,6.51,5.38,6.532,6.549,17.63,0.0,17.63,1.175
cb,Fatouh,EGY,Egypt,2,1699,0.715,3.86,3.75,6.223,6.101,16.35,1.2,17.55,8.773
m,Abdullaev,UZB,Uzbekistan,1,1718,0.84,3.44,3.39,6.239,6.161,17.54,0.0,17.54,17.543
m,Appollis,SAF,South Africa,1,1517,0.84,3.06,3.05,6.076,6.83,17.52,0.0,17.52,17.522
cb,Cancelo,POR,Portugal,8,1984,0.5,5.4,4.81,6.454,6.379,15.33,2.18,17.51,2.188
m,Shukurov,UZB,Uzbekistan,2,1718,0.839,3.44,3.39,6.239,6.161,17.51,0.0,17.51,8.756
cb,Sugawara,JAP,Japan,3,1906,0.556,4.86,4.47,6.391,6.245,15.51,1.94,17.45,5.816
st,Martinelli,BRA,Brazil,21,1988,0.5,5.35,4.76,6.457,7.341,17.45,0.0,17.45,0.831
st,Rodriguez K.,ECU,Ecuador,1,1935,0.55,5.12,4.65,6.414,6.821,17.43,0.0,17.43,17.431
cb,Costa L.,CPV,Cape Verde,5,1576,0.88,3.2,3.18,6.124,5.978,16.73,0.69,17.42,3.484
cb,Wan-Bissaka,COD,DR Congo,5,1655,0.86,3.18,3.16,6.188,6.042,16.4,1.02,17.42,3.485
m,Karlstrom,SVE,Sweden,4,1714,0.8,3.6,3.52,6.235,6.181,17.42,0.0,17.42,4.356
m,Esanov,UZB,Uzbekistan,1,1718,0.8,3.44,3.39,6.239,6.423,17.42,0.0,17.42,17.419
m,Eze,ING,England,21,2020,0.5,5.84,5.03,6.483,6.93,17.41,0.0,17.41,0.829
m,Elia,COD,DR Congo,4,1655,0.88,3.18,3.16,6.188,6.267,17.41,0.0,17.41,4.353
m,El Khannouss,MAR,Morocco,10,1822,0.629,4.28,4.08,6.323,6.771,17.39,0.0,17.39,1.739
st,Azaizeh,GRD,Jordan,1,1685,0.84,3.3,3.27,6.212,6.335,17.38,0.0,17.38,17.376
st,Ezzalzouli,MAR,Morocco,6,1822,0.631,4.28,4.08,6.323,6.753,17.37,0.0,17.37,2.895
cb,Hato,OLA,Netherlands,15,1961,0.5,5.37,4.78,6.435,6.394,15.27,2.08,17.35,1.157
st,Barbarouses,NZL,New Zealand,1,1585,0.845,3.2,3.18,6.131,6.458,17.35,0.0,17.35,17.351
st,Al-Hamadi,IRQ,Iraq,1,1608,0.88,3.02,3.02,6.15,6.524,17.33,0.0,17.33,17.326
m,Alajbegovic,BOS,Bosnia and Herzegovina,4,1591,0.765,3.63,3.56,6.136,6.365,17.32,0.0,17.32,4.329
cb,Timber J.,OLA,Netherlands,20,1961,0.5,5.37,4.78,6.435,6.369,15.21,2.08,17.29,0.865
m,Bayliss,NZL,New Zealand,1,1585,0.88,3.2,3.18,6.131,6.172,17.27,0.0,17.27,17.267
st,Al-Ghannam,SAU,Saudi Arabia,1,1566,0.84,3.18,3.16,6.116,6.499,17.26,0.0,17.26,17.264
m,Hadziahmetovic,BOS,Bosnia and Herzegovina,2,1591,0.8,3.63,3.56,6.136,6.058,17.24,0.0,17.24,8.618
cb,Danilo,BRA,Brazil,7,1988,0.5,5.35,4.76,6.457,6.335,15.06,2.17,17.23,2.462
st,Diallo,CIV,Ivory Coast,16,1676,0.708,3.82,3.72,6.205,6.547,17.21,0.0,17.21,1.076
st,Goncalo Ramos,POR,Portugal,13,1984,0.5,5.4,4.81,6.454,7.159,17.2,0.0,17.2,1.323
st,Marmoush,EGY,Egypt,14,1699,0.661,3.86,3.75,6.223,6.927,17.17,0.0,17.17,1.227
cb,Arous,TUN,Tunisia,1,1633,0.84,3.18,3.16,6.17,6.129,16.25,0.9,17.15,17.149
m,Madueke,ING,England,16,2020,0.5,5.84,5.03,6.483,6.825,17.15,0.0,17.15,1.072
cb,Doski,IRQ,Iraq,1,1608,0.86,3.02,3.02,6.15,6.301,16.36,0.78,17.13,17.132
m,jun-Oh Bae,KOR,South Korea,2,1756,0.667,4.3,4.1,6.269,6.263,17.13,0.0,17.13,8.567
st,Fernandez-Pardo,BEL,Belgium,1,1866,0.55,4.93,4.55,6.358,6.854,17.13,0.0,17.13,17.134
m,Mokoena,SAF,South Africa,2,1517,0.88,3.06,3.05,6.076,6.366,17.11,0.0,17.11,8.555
cb,Ake,OLA,Netherlands,14,1961,0.5,5.37,4.78,6.435,6.289,15.02,2.08,17.1,1.221
cb,Dedic,BOS,Bosnia and Herzegovina,7,1591,0.765,3.63,3.56,6.136,6.014,16.36,0.74,17.1,2.443
m,Ateya,EGY,Egypt,2,1699,0.738,3.86,3.75,6.223,6.169,17.08,0.0,17.08,8.538
st,David P.,CAN,Canada,3,1793,0.565,4.67,4.38,6.299,6.912,17.08,0.0,17.08,5.693
