fanta_role,name,team_name,value,club_goals_current_season,national_goals_current_season,national_appearances_current_season,national_team_matches_current_season,national_presence_ratio_current_season,transfermarkt_player_url,transfermarkt_match_status
cb,Estupinan,ECU,12,1,1,5,10,0.5,https://www.transfermarkt.it/pervis-estupinan/profil/spieler/349599,matched_alias
cb,Grimaldo,SPA,12,14,0,3,10,0.3,https://www.transfermarkt.it/alejandro-grimaldo/profil/spieler/193082,matched_alias
cb,Gusto,FRA,12,3,0,3,10,0.3,https://www.transfermarkt.it/malo-gusto/profil/spieler/620322,matched_alias
cb,Ndicka,CIV,12,5,0,1,13,0.077,https://www.transfermarkt.it/evan-ndicka/profil/spieler/371149,matched_alias
cb,Cucurella,SPA,11,1,0,2,10,0.2,https://www.transfermarkt.it/marc-cucurella/profil/spieler/284857,matched_alias
cb,Debast,BEL,11,0,1,2,10,0.2,https://www.transfermarkt.it/zeno-debast/profil/spieler/548193,matched_alias
cb,Konsa,ING,11,2,0,4,10,0.4,https://www.transfermarkt.it/ezri-konsa/profil/spieler/413403,matched_alias
cb,Lacroix M.,FRA,11,3,0,4,10,0.4,https://www.transfermarkt.it/maxence-lacroix/profil/spieler/434224,matched_alias
cb,Lucumi,COL,11,1,1,7,10,0.7,https://www.transfermarkt.it/jhon-lucumi/profil/spieler/413565,matched_alias
cb,Stones,ING,11,0,0,3,10,0.3,https://www.transfermarkt.it/john-stones/profil/spieler/186590,matched_alias
cb,Sutalo,CRO,11,0,0,3,10,0.3,https://www.transfermarkt.it/josip-sutalo/profil/spieler/371001,matched_alias
cb,Dest,USA,10,2,1,6,18,0.333,https://www.transfermarkt.it/sergino-dest/profil/spieler/361104,matched_alias
cb,Eric Garcia,SPA,10,1,0,2,10,0.2,https://www.transfermarkt.it/eric-garcia/profil/spieler/466794,matched_alias
cb,O'Reilly,ING,10,9,0,3,10,0.3,https://www.transfermarkt.it/nico-oreilly/profil/spieler/743413,matched_alias
cb,Olivera,URU,10,0,0,4,10,0.4,https://www.transfermarkt.it/mathias-olivera/profil/spieler/376514,matched_alias
cb,Stanisic,CRO,10,3,0,4,10,0.4,https://www.transfermarkt.it/josip-stanisic/profil/spieler/483046,matched_alias
cb,Thiaw,GER,10,5,0,0,10,0.0,https://www.transfermarkt.it/malick-thiaw/profil/spieler/521964,matched_alias
cb,Tomiyasu,JAP,10,0,0,1,13,0.077,https://www.transfermarkt.it/takehiro-tomiyasu/profil/spieler/331560,matched_alias
cb,Aguerd,MAR,9,1,0,0,26,0.0,https://www.transfermarkt.it/nayef-aguerd/profil/spieler/361914,matched_alias
cb,Hernandez L.,FRA,9,0,0,2,10,0.2,https://www.transfermarkt.it/lucas-hernandez/profil/spieler/281963,matched_alias
cb,Laimer,AUT,9,3,0,2,10,0.2,https://www.transfermarkt.it/konrad-laimer/profil/spieler/223967,matched_alias
cb,Llorente M.,SPA,9,4,0,2,10,0.2,https://www.transfermarkt.it/marcos-llorente/profil/spieler/282411,matched_alias
cb,Mazraoui,MAR,9,0,0,5,26,0.192,https://www.transfermarkt.it/noussair-mazraoui/profil/spieler/340456,matched_alias
cb,Sanchez D.,COL,9,2,1,6,10,0.6,https://www.transfermarkt.it/davinson-sanchez/profil/spieler/341429,matched_alias
cb,Theate,BEL,9,1,0,2,10,0.2,https://www.transfermarkt.it/arthur-theate/profil/spieler/368891,matched_alias
cb,Van Dijk,OLA,9,8,1,4,10,0.4,https://www.transfermarkt.it/virgil-van-dijk/profil/spieler/139208,matched_alias
cb,Van Hecke,OLA,9,3,0,4,10,0.4,https://www.transfermarkt.it/jan-paul-van-hecke/profil/spieler/576314,matched_alias
cb,Bensebaini,ALG,8,7,0,2,23,0.087,https://www.transfermarkt.it/ramy-bensebaini/profil/spieler/284732,matched_alias
cb,Cancelo,POR,8,3,0,4,10,0.4,https://www.transfermarkt.it/joao-cancelo/profil/spieler/182712,matched_alias
cb,Elvedi,SVI,8,2,0,4,10,0.4,https://www.transfermarkt.it/nico-elvedi/profil/spieler/192635,matched_alias
cb,Ibanez,BRA,8,4,0,4,10,0.4,https://www.transfermarkt.it/roger-ibanez/profil/spieler/524481,matched_alias
cb,Kadioglu,TUR,8,1,1,2,10,0.2,https://www.transfermarkt.it/ferdi-kadioglu/profil/spieler/369316,matched_alias
cb,Livramento T.,ING,8,0,0,3,10,0.3,https://www.transfermarkt.it/tino-livramento/profil/spieler/503981,matched_alias
cb,Pubill,SPA,8,1,0,2,10,0.2,https://www.transfermarkt.it/marc-pubill/profil/spieler/844637,matched_alias
cb,Raum,GER,8,3,0,3,10,0.3,https://www.transfermarkt.it/david-raum/profil/spieler/318204,matched_alias
cb,Richards,USA,8,2,0,5,18,0.278,https://www.transfermarkt.it/chris-richards/profil/spieler/578539,matched_alias
cb,Tah,GER,8,3,1,4,10,0.4,https://www.transfermarkt.it/jonathan-tah/profil/spieler/196357,matched_alias
